,p1,p36,p37,p2a,weekday(p2a),p2b,p6,p7,p8,p9,p10,p11,p12,p13a,p13b,p13c,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p27,p28,p34,p35,p39,p44,p45a,p47,p48a,p49,p50a,p50b,p51,p52,p53,p55a,p57,p58,a,b,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,p5a,region
14,2100160015,6,,2016-01-01,5,935,2,0,0,2,1,2,508,0,0,0,120,2.0,3.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,2,0,,3,31.0,12,3.0,0.0,0.0,0.0,1.0,5.0,20,2.0,1.0,1.0,,,"-743190,780","-1044060,970","-743189,230","-1044063,440",PRAHA2NOV…MÃSTO,NaZbo¯enci,,mÌstnÌkomunikace,,,,,,,,,1,PHA
15,2100160016,5,,2016-01-01,5,2560,2,0,0,2,1,0,516,0,0,0,80,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-741239,510","-1044488,440","-741238,330","-1044488,590",PRAHA2VINOHRADY,SLEZSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
16,2100160017,5,,2016-01-01,5,1245,3,0,4,2,1,2,204,0,0,0,1250,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,3,1,0,,3,39.0,07,1.0,0.0,1.0,0.0,1.0,1.0,1200,2.0,1.0,1.0,,,"-735951,758","-1046340,211","-735956,580","-1046336,030",PRAHA10Hostiva¯,JIéNÕSPOJKA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
17,2100160018,6,,2016-01-01,5,1355,2,0,0,2,1,9,511,0,0,0,900,2.0,1.0,1.0,1.0,1.0,1.0,1,1,0,5,1,1,2,0,,3,39.0,15,3.0,0.0,1.0,0.0,1.0,5.0,500,2.0,5.0,1.0,,,"-742883,100","-1046275,140","-742883,040","-1046274,210",PRAHA4PODOLÕ,SINKULOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
18,2100160019,6,,2016-01-01,5,1420,4,0,0,1,1,2,508,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,3,3,0,4,1,10,,3,39.0,11,7.0,0.0,1.0,0.0,1.0,5.0,0,2.0,1.0,1.0,,,"-742826,320","-1043271,460","-742825,510","-1043270,720",PRAHA1STAR…MÃSTO,HAVELSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
19,2100160020,5,,2016-01-01,5,2560,9,0,0,2,1,0,516,0,0,0,50,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,1,0,,17,,XX,,,,,,,0,,,,,,"-731396,103","-1041279,219","-731397,165","-1041285,067",PRAHA9-KYJE,Novopack·,,mÌstnÌkomunikace,,1392922.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,507911.0,GN_V0.1UIR-ADR_410,1,PHA
20,2100160021,6,,2016-01-01,5,1360,2,0,0,2,1,0,516,0,0,0,50,2.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,2,0,,3,39.0,15,3.0,0.0,4.0,0.0,1.0,5.0,0,9.0,,,,,"-743290,289","-1045222,932","-743291,144","-1045224,196",PRAHA2Vyöehrad,NEKLANOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
21,2100160022,5,,2016-01-01,5,1725,1,4,0,2,1,2,503,0,0,0,700,2.0,1.0,1.0,1.0,4.0,1.0,5,1,0,5,1,1,2,0,,3,39.0,13,2.0,0.0,1.0,0.0,1.0,1.0,500,2.0,1.0,1.0,,,"-741717,590","-1043255,350","-741717,590","-1043255,350",PRAHA1NOV…MÃSTO,HYBERNSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
22,2100160023,6,,2016-01-01,5,1715,0,0,0,2,1,2,508,0,0,0,200,2.0,1.0,1.0,1.0,4.0,1.0,3,7,0,0,0,1,1,0,,3,39.0,10,1.0,0.0,1.0,0.0,1.0,5.0,100,2.0,1.0,1.0,,,"-739082,185","-1040224,233","-739079,607","-1040223,550",PRAHA8LibeÚ,ZENKLOVA,,uzel,,,,,,,,,1,PHA
23,2100160024,5,,2016-01-01,5,1740,1,4,0,2,1,2,503,0,0,0,800,2.0,3.0,1.0,1.0,4.0,1.0,3,1,0,0,0,1,2,0,,3,47.0,04,1.0,0.0,1.0,0.0,1.0,1.0,500,2.0,1.0,1.0,,,"-738186,460","-1044450,380","-738186,410","-1044452,300",PRAHA10,PO»ERNICK¡,,sledovan·komunikace,,,,,,,,,1,PHA
24,2100160025,5,,2016-01-01,5,2560,4,0,0,1,1,0,412,0,0,1,0,2.0,1.0,1.0,1.0,2.0,1.0,2,1,0,5,1,1,1,0,,3,39.0,96,1.0,0.0,1.0,0.0,1.0,3.0,0,2.0,1.0,1.0,,,"-747339,921","-1056121,156","-747338,079","-1056123,089",PRAHA-5Zbraslav,ELIäKYPÿEMYSLOVNY,,sledovan·komunikace,,,,,,,,,1,PHA
25,2100160026,5,,2016-01-01,5,1740,1,3,0,2,1,2,403,0,0,0,900,2.0,3.0,1.0,1.0,4.0,1.0,0,1,3,3,0,5,2,10,,3,39.0,08,3.0,0.0,1.0,0.0,1.0,5.0,500,2.0,1.0,1.0,,,"-740412,010","-1043595,480","-740412,290","-1043594,680",PRAHA3éIéKOV,ROKYCANOVA,,sledovan·komunikace,,,,,,,,,1,PHA
26,2100160027,4,,2016-01-01,5,1824,3,0,3,2,1,2,204,0,0,0,450,2.0,3.0,12.0,1.0,4.0,1.0,0,1,3,3,0,4,1,19,,3,39.0,04,3.0,1.0,1.0,0.0,1.0,17.0,300,2.0,1.0,1.0,,,"-736061,950","-1045046,800","-736064,280","-1045057,940",PRAHA10STRAäNICE,,,sledovan·komunikace,,,,,,,,,1,PHA
27,2100160028,6,,2016-01-01,5,1845,1,4,0,2,1,2,503,0,0,0,800,2.0,1.0,1.0,1.0,4.0,1.0,3,1,0,0,0,1,2,0,,3,32.0,06,1.0,0.0,1.0,0.0,1.0,5.0,300,2.0,1.0,1.0,,,"-741635,153","-1043319,614","-741636,125","-1043320,982",PRAHA2Vinohrady,SEIFERTOVA,,uzel,,,,,,,,,1,PHA
28,2100160029,5,,2016-01-01,5,1855,1,4,0,2,1,2,503,0,0,0,500,2.0,1.0,1.0,1.0,4.0,1.0,2,1,0,5,1,1,2,0,,3,39.0,06,1.0,0.0,1.0,0.0,1.0,3.0,200,3.0,1.0,1.0,,,"-742306,430","-1043943,660","-742306,160","-1043943,460",PRAHA1NOV…MÃSTO,V¡CLAVSK…N¡M.,,sledovan·komunikace,,,,,,,,,1,PHA
29,2100160030,5,,2016-01-01,5,1925,1,4,0,2,1,2,503,0,0,0,301,2.0,3.0,1.0,1.0,4.0,1.0,5,1,2,0,0,1,2,0,,3,12.0,15,3.0,0.0,1.0,0.0,1.0,3.0,1,2.0,1.0,1.0,,,"-739286,980","-1044485,720","-739283,220","-1044485,320",PRAHA3éIéKOV,JANAéELIVSK…HO,,sledovan·komunikace,,,,,,,,,1,PHA
